"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
"1" 648425946.084293 12284974266558028 4.61601787801019e+20 2.70310142507028e+20 9.57381386670873e+30 9038416.90671372 7.02827312048185e+37 4.31292475568313e+36 275971923803991 142555171626.525 6.25941435473658e+22
"2" 608832344.864152 13709240672952156 5.77808707144374e+20 3.48495616534438e+20 1.55806220482679e+31 10286032.1149663 2.27416085216001e+37 2.20739752120504e+36 201446263863292 152646267029.134 2.09217242192146e+22
"3" 559976099.147147 12029959290370610 4.98988733164933e+20 3.56117529588243e+20 1.88803921275555e+31 10152062.4435373 6.14819768960875e+37 4.31178309303536e+36 384405623810934 408068960750.102 9.08226039967323e+22
"4" 622927832.71302 11481764578717356 3.79019229278476e+20 99575576874481172480 9.03209713230388e+30 9169743.0380383 3.91880621204707e+37 3.13265952090415e+36 234320730753716 246876926546.324 5.0220686865305e+22
"5" 569026898.268147 11324216083184750 3.92356407171069e+20 2.25728160379132e+20 5.87704503846442e+30 8765547.18332613 8.11353385604818e+37 2.17844823739825e+36 313519353259004 119531084388.632 2.02851014088939e+22
"6" 602083020.365601 12498827401527472 5.30522732362091e+20 3.26345552426487e+20 1.22947916489631e+31 9668282.19230615 7.85369424501933e+37 5.72799563347645e+36 330934336517510 263841153097.312 5.41247536337781e+22
"7" 514014296.478109 10271532223548600 4.08519417420272e+20 2.18198889923224e+20 5.97967263191417e+30 8414788.31452188 5.99848992191219e+37 3.65400870029128e+36 215353636979490 133730094423.329 1.66859944353504e+22
"8" 602980258.868143 11846571468973782 4.79701756612252e+20 2.71624774074709e+20 8.60876183500536e+30 9201683.4860898 8.40243034020887e+37 5.21930749269218e+36 320623604924316 272902931927.493 6.48489775285089e+22
"9" 543824576.949077 17280688554824390 8.31410188714773e+20 1.65978857739955e+20 8.37098885247093e+30 8705238.21511206 5.37340154138552e+37 3.06027582487277e+36 237592652442994 238216124149.385 4.71066925399379e+22
"10" 516867262.744157 10525544572014940 3.66143749918229e+20 1.61695391568973e+20 5.03683042037615e+30 8273621.3039571 6.86257030577244e+37 3.31487508846026e+36 211553825298539 180382797224.451 4.74751778099062e+22
"11" 526309750.807725 11692571643963732 4.7332700281238e+20 2.66389979078023e+20 7.91179017854453e+30 7346092.55471583 1.78072004776814e+37 4.96563708481692e+35 350684890911635 282539639049.589 6.8676050191794e+22
"12" 680341288.052633 13808648606837398 5.74553886942166e+20 3.22767464013338e+20 1.27758899119006e+31 9556030.84031627 8.38116607599237e+37 5.00776421349824e+36 287015599591951 229759584085.503 3.7050726259111e+22
"13" 322513467.84742 3962444171625130 3.18777135205972e+20 3.3055369034748e+20 1.44681228969663e+31 10124938.5617529 1.22323378760264e+38 8.08501453429069e+36 388745991978090 301324889306.391 4.82248398494715e+21
"14" 520549636.646534 9677212073819502 3.6004355023178e+20 2.21387833567607e+20 7.40500525366298e+30 8592771.06704408 4.9124655918482e+37 3.14412999943857e+36 230164070600445 350032865538.826 9.65855814045798e+22
"15" 542550012.87369 9942029139660722 2.88536078319706e+20 1.89684781470075e+20 7.3623781943881e+30 8983423.37120488 7.72600293486877e+37 4.25775566783749e+36 192109822336214 169055984200.055 2.99261895905928e+22
"16" 497099788.350791 10817337446194338 4.65073841248838e+20 2.99147644623294e+20 1.21769294578177e+31 9528677.11717115 6.87916807695563e+37 3.42720372312884e+36 248069142287085 223980445657.393 4.86897177347539e+22
"17" 416598249.215726 10832484817113152 4.59071260651945e+20 2.58660293454392e+20 9.0661515012987e+30 8596892.55426055 3.17304222610961e+37 1.53256349766644e+36 214998091327391 208542280402.754 4.33819721287317e+22
"18" 528376384.536639 9498991951376048 3.54646428408181e+20 2.53774088225305e+20 1.01093586576267e+31 9517862.76749184 8.29301598301915e+37 3.66089221818287e+36 259856735100550 227070262335.418 4.93545638929384e+22
"19" 498695720.39338 10009854959093346 3.63966762843384e+20 2.56648096406149e+20 1.16451117357691e+31 9319510.65630133 6.29571810522895e+37 4.39329299894869e+36 278419865977166 220355469690.35 2.74570526514978e+22
"20" 725208794.114536 18481322757239152 6.79560047204813e+20 5.83851654013504e+20 2.42014457811134e+31 9332310.47037399 9.84530339231528e+37 5.67154812182495e+36 292724382507166 242213618213.073 5.54820966558684e+22
"21" 542550012.87369 9307608608724448 2.54898493538623e+20 1.99301551814249e+20 7.69879636051078e+30 8555632.10586828 4.86871213884067e+37 3.40889177801845e+36 272179320071671 239262934354.285 5.0903234827269e+22
"22" 483661049.379157 7781531839120335 3.70075760000107e+20 2.4335000443831e+20 8.25813547450623e+30 8766564.94420154 5.23949321996294e+37 2.73293455316143e+36 205130022255963 183681909093.9 2.82799289919174e+22
"23" 552714493.645706 13076619482162646 5.56228555533712e+20 3.7085498229234e+20 1.43131424474805e+31 9301377.17363867 8.74047306641724e+37 6.19601489238582e+36 407904863227958 282015735591.891 6.61856724364527e+22
"24" 755245154.907309 19664901963361204 8.69103351650443e+20 5.55249905113116e+20 2.44416242135759e+31 9262404.17672406 6.39678771582324e+37 4.24400743632989e+36 277335762885892 222037915644.412 2.45234711028801e+22
"25" 614719214.721193 13326778659124986 4.43574179684887e+20 1.90073300918794e+20 5.13232423552413e+30 9769562.82221987 9.3425873729025e+37 6.5076331698835e+36 354245554332289 300322791832.737 8.95472055759762e+22
"26" 505513554.512924 6943688926548643 4.63834341316971e+20 2.88706273161316e+20 1.30359414262276e+30 9436956.70377415 7.71007023219967e+37 4.6810792968308e+36 300470883426930 259278781288.728 5.85041210670749e+22
"27" 405955877.599301 7668867984990551 3.52515538772706e+20 3.02148444819107e+20 8.69094641791084e+30 8305085.43536337 3.38912245642444e+37 2.34295189876437e+36 263813264506305 213954679370.045 2.36920378357985e+22
"28" 564705868.123747 12592424052150468 4.5609432781051e+20 2.68603380685203e+20 1.09841382944363e+31 8148379.69102859 3.59833518818917e+37 1.42040234121916e+36 254054337315072 159000205263.389 4.66495055744294e+22
"29" 706753382.767367 18077751320126096 6.80354078978858e+20 4.08838002558015e+20 4.79555792213638e+29 10599697.72205 1.54057801919587e+38 1.0068576712503e+37 119972309538619 151590945817.414 8.99481057563088e+21
"30" 684215211.728725 13031509441523606 3.75267163628456e+20 2.0334905725265e+20 7.28188503611873e+30 9126142.64730438 7.83284658706251e+37 3.58504313318801e+36 370003539044080 388264938604.958 1.32045382595598e+23
"31" 513200945.621005 11189541123455598 4.41517925279633e+20 2.65545817616196e+20 8.0155783720492e+30 8682021.64579598 4.44187821919236e+37 2.47356009059493e+36 213730569150924 179326047836.673 2.22460247313386e+22
"32" 565568454.625958 12312703180252944 4.60719677855245e+20 2.72575261878005e+20 6.35578658385291e+30 9207755.79021067 6.54321739897296e+37 3.90266701059393e+36 316532279200210 301761112209.715 7.7467280931944e+22
"33" 525897021.376221 10618336724343054 3.11211318204945e+20 1.72783467545893e+20 5.89347284427676e+30 8054296.74166756 3.77828787986563e+37 6.66921636291361e+36 290094871911097 219408823827.673 3.60150397841598e+22
"34" 499494865.934354 11057195599740318 4.00936233229514e+20 2.21581089405552e+20 7.27298985725531e+30 8615956.20877836 4.98975419209801e+37 2.97453706968989e+36 255306719489505 223581105173.798 4.48582561510994e+22
"35" 383815010.348477 15159641486264910 5.48398569084223e+20 2.9398879807547e+20 1.34003287080571e+31 8357361.41133288 7.28504759063714e+37 3.30660891457308e+36 247201343486055 215665643434.474 4.11221629713378e+22
"36" 583870196.948564 12682725353385020 4.84496919700118e+20 2.95275888816675e+20 1.07297215852342e+31 9244042.75961271 9.60066174302954e+37 7.0090087212311e+36 355152539848723 284633089171.429 6.75457046957878e+22
"37" 633976972.132421 12724209682251268 1.53486737911961e+20 2.76546148834886e+20 8.06305167331581e+30 8473417.83997975 3.55499649166816e+37 2.65453062986262e+36 244429260806090 232811262765.245 4.15306124063645e+22
"38" 519320392.976128 10306156475015398 4.21701357182465e+20 2.65288993185117e+20 1.01764697812001e+31 9132472.71743887 6.8852126731952e+37 4.57518973904663e+36 312293142952082 266115447040.436 6.14343908410659e+22
"39" 395136071.658143 7315357075613127 3.39530482939599e+20 2.1030439812406e+20 6.3551800176229e+30 8525232.67328077 3.48761814568181e+37 2.46089528206339e+36 239860326916885 252835825912.325 6.05197819644938e+22
"40" 652187247.757933 12284397105383170 5.53695246747241e+20 3.02918233273249e+20 1.09935170101411e+31 9540754.17164497 1.07573402902272e+38 7.40605552429743e+36 362843071156835 292114874684.929 6.61856724364527e+22
"41" 429229021.901017 8682928949917792 3.72435454064764e+20 2.26156234184465e+20 9.11744722976991e+30 10161644.5003966 9.20681998478235e+37 1.30865873300598e+35 201877270070973 266270133580.855 4.51344412950061e+21
"42" 512388386.397336 11880822626781136 4.48558270650391e+20 2.7271479015862e+20 9.71135670981193e+30 9164630.30043505 5.66165811499145e+37 2.61609811257048e+36 215738912663456 194646186973.418 3.87293332234847e+22
"43" 558690404.231144 9312003361169030 3.74536961452016e+20 3.00444629605244e+20 1.14634306701902e+31 9538724.67594541 8.45466691950733e+37 5.01875647820123e+36 306862119473685 261937257742.288 6.21280301291841e+22
"44" 467371693.216371 8831836597421467 3.61446333139278e+20 2.36183112782994e+20 8.68814232386876e+30 8885783.55494338 3.7414390170952e+37 2.42149253129358e+36 252047122847241 306783528339.145 7.56639305128792e+22
"45" 540461224.62368 11359440221465084 4.16196343488786e+20 2.429844230056e+20 8.15761313070632e+30 8714183.26207195 5.25041215629337e+37 3.42701830920547e+36 252465204931458 248756520363.972 5.88360467414572e+22
"46" 665457304.314258 16062125296527638 6.04476406926353e+20 3.3943076318521e+20 1.18647100669427e+31 8691046.51774056 3.86525702649056e+37 2.53918720480892e+36 259530493243644 248342967889.738 5.39184573545612e+22
"47" 516459101.726575 10010591528175420 4.49983019746378e+20 3.18417955734379e+20 1.06200426281976e+31 9365402.57626227 4.30060957693077e+37 2.40099883728011e+36 241904715922970 186407081050.747 1.90611047573557e+22
"48" 482877577.692049 11699789612136428 5.19831635063601e+20 3.20628836702955e+20 1.24186199240425e+31 9650774.37137694 8.75691928242686e+37 4.09279563240016e+36 198503855785446 188229472949.883 4.45071113149148e+22
"49" 609283945.096473 14954636233623764 5.61208736618639e+20 3.17624783452779e+20 1.15142718354479e+31 9259739.18060982 6.94973539267132e+37 4.58773253407549e+36 212131337890386 191522879097.666 3.54343408742805e+22
"50" 592267533.186041 21903496148058296 8.69745442376372e+20 4.06416408742451e+20 1.04069637172856e+31 9387433.59634428 7.6275347484731e+37 4.2951459755952e+36 198275016909713 275685152921.567 6.06334714828111e+22
"51" 562122962.662415 12202083104156170 4.20261126589636e+20 2.18813097590732e+20 9.74634860900869e+30 9229025.10019972 7.42186551540853e+37 5.37612900789788e+36 326038882150292 275055883602.486 8.17687370658307e+22
"52" 620640945.322021 13831450086180814 4.73813740630954e+20 2.02418839948477e+20 5.88723680528441e+30 8459876.3308697 7.18620243878882e+37 4.48399685013871e+36 303615584016537 272374192932.526 8.82870564057445e+22
"53" 645613741.184772 14129938085076222 5.3769331111223e+20 3.08170824449045e+20 1.17914551715893e+31 9508694.83852883 9.03890798607567e+37 6.21761194216698e+36 329035519807016 262817722202.569 5.8725227533037e+22
"54" 499494865.934354 9161079850951216 3.43550807599625e+20 2.17117302133447e+20 7.72292905472342e+30 8659112.82307121 4.70068989629602e+37 2.64161450149423e+36 145235085539906 135889898030.742 1.85145146948973e+22
"55" 538784356.142708 14819966897802928 5.90965237014033e+20 3.29533483295563e+20 1.14639432172797e+31 9423699.00714473 6.13695500942664e+37 3.05425713096459e+36 264988033477512 226226025563.316 5.03177149588589e+22
"56" 571195010.624965 12671188034931838 6.91571809312615e+20 3.6995430207908e+20 1.37783492437153e+31 9902789.08579552 5.18141219870247e+37 3.71498827859143e+36 252305611000854 209277898884.215 4.25330107566763e+22
"57" 672633960.689497 15879312218348476 5.66475468288489e+20 3.51771423120487e+20 1.53598021448815e+31 10048158.1281753 1.07789070905674e+38 6.52289937540961e+36 314299810861087 253121882441.633 7.24282695728565e+22
"58" 551439077.98625 8828723206075495 3.78508444421813e+20 2.10066538982027e+20 7.13970797135304e+30 8492522.12592977 4.56961844467279e+37 2.66735621451458e+36 225291232590564 176001967199.669 2.12930711566955e+22
"59" 746513714.24644 15357563145274844 5.44590634360871e+20 3.19512434113917e+20 1.13923846549873e+31 9337088.83804088 7.24377883199929e+37 4.51817797958776e+36 279912079702638 228333052364.477 4.27016641739664e+22
