"T1_0." "T1_10." "T1_20." "T1_30." "T1_40." "T1_50." "T1_60." "T1_70." "T1_80." "T1_90." "T1_100."
"8" 581 588.915254237288 588.932203389831 604.033898305085 613.677966101695 593.338983050847 550.389830508475 519.542372881356 516 504.881355932203 502
"9" 635 610.271186440678 611.389830508475 620 614.152542372881 570.372881355932 526.762711864407 481.203389830508 413.762711864407 353.474576271186 267
"13" 433 518.932203389831 530.593220338983 547.796610169491 551.610169491525 545.779661016949 530.898305084746 487.898305084746 436.64406779661 407.016949152542 339
"22" 373 481.305084745763 502 504 508.508474576271 515.423728813559 511.508474576271 506.627118644068 476.983050847458 449.661016949153 398
"29" 641 596.203389830509 601.457627118644 588.305084745763 586.864406779661 583.796610169491 552.322033898305 498.254237288136 462.203389830509 429.813559322034 397
"33" 448 506.830508474576 537.389830508475 549 551.28813559322 539.135593220339 519.525423728814 450.728813559322 325.508474576271 162.237288135593 151
"44" 465 483.525423728814 517.745762711864 532.542372881356 524.779661016949 502.559322033898 468.677966101695 439.067796610169 425.016949152542 422.745762711864 366
"59" 462 525.898305084746 537.898305084746 560.423728813559 571 574.372881355932 574.542372881356 547.881355932203 473.203389830508 381.762711864407 284
"73" 450 522.118644067797 566.593220338983 566.627118644068 665.728813559322 622.966101694915 629.593220338983 576.983050847458 547.593220338983 486.067796610169 375
"77" 438 551.932203389831 581.254237288136 596.016949152542 596.813559322034 569.898305084746 525.220338983051 486.474576271186 364.864406779661 169.491525423729 156
"84" 460 468.474576271186 480 488.677966101695 510.610169491525 505.406779661017 496.661016949153 479.474576271186 456.491525423729 434.728813559322 422
"87" 452 565.728813559322 594.254237288136 605.135593220339 615.508474576271 612.864406779661 603.474576271186 567.881355932203 483.898305084746 438.322033898305 326
