"T4_0." "T4_10." "T4_20." "T4_30." "T4_40." "T4_50." "T4_60." "T4_70." "T4_80." "T4_90." "T4_100."
"101" 3705 3654.67796610169 3702.38983050847 3630.45762711864 3558.69491525424 3731.16949152542 3850.72881355932 3866.33898305085 3879 3930.79661016949 3881
"102" 4017 3957.5593220339 3930.52542372881 3924.64406779661 3887.05084745763 3933.33898305085 3958.16949152542 3932.38983050847 3965.03389830508 4118.5593220339 3988
"106" 4168 4392.79661016949 4606.3220338983 4359.93220338983 4627.16949152542 3555.66101694915 3602.62711864407 3753.30508474576 3735.93220338983 3626.69491525424 3763
"115" 4060 4396.23728813559 4603.89830508475 3143.16949152542 3142.77966101695 3307.71186440678 3384.01694915254 3524.66101694915 3606.15254237288 3664.40677966102 3717
"122" 4023 3975.40677966102 3955.37288135593 3920.84745762712 3902.13559322034 3955.23728813559 4039.57627118644 3955.33898305085 4062.08474576271 4095 4113
"126" 3287 3775.22033898305 3830.74576271186 3675.5593220339 3858.22033898305 4579.28813559322 4472.32203389831 4630.23728813559 3923.52542372881 4377.69491525424 4026
"137" 3745 3671.69491525424 4932.98305084746 3641.72881355932 3737.15254237288 3908.72881355932 4052.40677966102 3685.25423728814 3701.49152542373 3767.25423728814 4004
"152" 3791 3654.23728813559 3760.83050847458 3870 3862.86440677966 3813.66101694915 3827.64406779661 3833.94915254237 4438.38983050847 3941.37288135593 3709
"166" 3927 3983.62711864407 3990.28813559322 4003.25423728814 4023.15254237288 4024.05084745763 4032.18644067797 4314.91525423729 4071.4406779661 4043.52542372881 3983
"170" 3571 3893.2976744186 3624.50847457627 3749.52542372881 3757.23728813559 3826.67796610169 3815.96610169492 3820.98305084746 4227.69491525424 4014.20338983051 3813
"177" 3592 3445.94915254237 3664.42372881356 3597.71186440678 3753.5593220339 4061.01694915254 3970.22033898305 3919.23728813559 3926.06779661017 4058.59322033898 4191
"180" 3660 4002.89830508475 3993.61016949153 3928.28813559322 3840.1186440678 3978.89830508475 4166.83050847458 3999.98305084746 4019.22033898305 3936.23728813559 3930
