"T4_0." "T4_10." "T4_20." "T4_30." "T4_40." "T4_50." "T4_60." "T4_70." "T4_80." "T4_90." "T4_100."
"8" 3329 3191.45762711864 3231.91525423729 3237.5593220339 3056.13559322034 3175 3185.81355932203 3220.25423728814 3161.81355932203 3095.22033898305 3042
"9" 3298 3206.96610169492 3209.10169491525 3225.28813559322 3253.42372881356 3262.64406779661 3297.16949152542 3273.89830508475 3320.08474576271 3359.45762711864 3558
"13" 3034 3360.67796610169 3243.01694915254 3134.74576271186 3058.62711864407 3029.20338983051 3037.06779661017 3006.94915254237 2857.64406779661 2781.03389830508 2613
"22" 2926 3073.18644067797 3236.42372881356 2908.71186440678 2924.57627118644 2960.38983050847 2977.47457627119 2954.83050847458 2915.5593220339 2822.8813559322 3358
"29" 3098 3077.13559322034 3078.76271186441 3136.62711864407 3172.98305084746 3194.16949152542 3206.81355932203 3175.81355932203 3234.05084745763 3266.13559322034 3308
"33" 3186 2958.40677966102 2965.93220338983 2951.15254237288 3062.42372881356 3156.18644067797 3088.83050847458 3221.66101694915 3380.03389830508 3508.89830508475 3511
"44" 3221 3188.33898305085 3168.81355932203 3134.74576271186 3136.8813559322 3129.13559322034 3094.28813559322 2999.35593220339 2989.06779661017 3005.27118644068 3100
"59" 3096 3114.74576271186 3073.25423728814 3112.84745762712 3066.81355932203 3013.54237288136 3008.64406779661 3043.49152542373 3113.45762711864 3206.81355932203 3242
"73" 3379 3200.94915254237 3439.27118644068 3368.40677966102 3200.89830508475 3218.71186440678 3190.23728813559 3120.33898305085 3128.03389830508 3060.15254237288 3101
"77" 3345 3372.40677966102 3386.52542372881 3253.64406779661 3229.66101694915 3214 3249.66101694915 3238.96610169492 3245.06779661017 3270.32203389831 3382
"84" 3278 3335.52542372881 3291.79661016949 3251.74576271186 3165.16949152542 3101.67796610169 3091.10169491525 3173.52542372881 3242.23728813559 3343.32203389831 3314
"87" 2999 3275.64406779661 3261.76271186441 3284.38983050847 3258.50847457627 3254.15254237288 3223.74576271186 3203.38983050847 3116.77966101695 3145.98305084746 3335
