"T3_0." "T3_10." "T3_20." "T3_30." "T3_40." "T3_50." "T3_60." "T3_70." "T3_80." "T3_90." "T3_100."
"8" 2511 2473.35593220339 2479.28813559322 2445.5593220339 2369.06779661017 2380.66101694915 2354.79661016949 2326.50847457627 2377.64406779661 2335.18644067797 2310
"9" 2694 2570.91525423729 2541.83050847458 2505.76271186441 2440.16949152542 2378.32203389831 2327.62711864407 2285.45762711864 2270.72881355932 2388.27118644068 2468
"13" 2139 2869.20338983051 2825.45762711864 2678.69491525424 2569.22033898305 2457.84745762712 2374.05084745763 2268.32203389831 2247.49152542373 2187.64406779661 1958
"22" 2024 2427.01694915254 2893.4406779661 2527.8813559322 2504.32203389831 2459.76271186441 2396.64406779661 2348.23728813559 2314.33898305085 2318.77966101695 2364
"29" 2445 2428.28813559322 2380.71186440678 2351.15254237288 2307.71186440678 2263.79661016949 2219.33898305085 2238.94915254237 2334.61016949153 2378.15254237288 2446
"33" 1843 1941.57627118644 2069.86440677966 1988.28813559322 2026.5593220339 2087.83050847458 2153 2307.20338983051 2315.91525423729 2307.13559322034 2452
"44" 2295 2194.32203389831 2126.67796610169 2048.8813559322 2015.94915254237 2009.86440677966 2024.91525423729 2015.93220338983 2020.72881355932 2086.61016949153 2080
"59" 2355 2325.57627118644 2366.49152542373 2430.84745762712 2409.1186440678 2344.52542372881 2253.66101694915 2236.42372881356 2234.45762711864 2367.47457627119 2226
"73" 2606 2642.8813559322 2636.50847457627 2576.30508474576 2510.15254237288 2484.84745762712 2453.32203389831 2477.64406779661 2394.18644067797 2417.52542372881 2645
"77" 2558 2539.03389830508 2516.64406779661 2475.96610169492 2472.81355932203 2452.30508474576 2442.25423728814 2451.59322033898 2454.83050847458 2432.37288135593 2541
"84" 2538 2491.79661016949 2476.06779661017 2449.42372881356 2394.59322033898 2366.38983050847 2338.32203389831 2328.10169491525 2319.38983050847 2323.25423728814 2351
"87" 2461 2575.18644067797 2605.61016949153 2571.71186440678 2495.96610169492 2447.49152542373 2417.13559322034 2371.61016949153 2358.96610169492 2339.37288135593 2225
