"T2_0." "T2_10." "T2_20." "T2_30." "T2_40." "T2_50." "T2_60." "T2_70." "T2_80." "T2_90." "T2_100."
"101" 1271 987.762711864407 1096.71186440678 1266.74576271186 1488.4406779661 1673.16949152542 1996.50847457627 2182.15254237288 2242.52542372881 2184.93220338983 2120
"102" 1089 1081.32203389831 1100.47457627119 1140.5593220339 1316.72881355932 1381.8813559322 1655.49152542373 2229.40677966102 2192.84745762712 2324.74576271186 2322
"106" 1369 1187.79661016949 1108.8813559322 1046.28813559322 1123.23728813559 1176.08474576271 1198.08474576271 1512.25423728814 1372.03389830508 1307.15254237288 1087
"115" 1323 1243.62711864407 1196.37288135593 1120.8813559322 1103.52542372881 1162.96610169492 1281.91525423729 1462.35593220339 1601.76271186441 1802.69491525424 1951
"122" 1053 1028.86440677966 1062.91525423729 1095.61016949153 1372.38983050847 1806.74576271186 2143.16949152542 2147.15254237288 2218.37288135593 2212.69491525424 2644
"126" 1411 1350.42372881356 1246.62711864407 1197.93220338983 1211.79661016949 1521.76271186441 1894.23728813559 2133.22033898305 2398.98305084746 2460 2460
"137" 976 980.474576271186 1088.01694915254 1171.50847457627 1350.69491525424 1512.25423728814 1674.49152542373 1952.50847457627 2120.8813559322 2048.1186440678 2070
"152" 1461 1250.38983050847 1134.71186440678 1165.08474576271 1313.5593220339 1625.42372881356 1790.16949152542 1859.98305084746 2155.35593220339 2100 2080
"166" 1096 1120 1161.01694915254 1280 1361.01694915254 1532.54237288136 1683.05084745763 1872.20338983051 2015.83050847458 1814.30508474576 1601
"170" 1336 1218.61016949153 1126.77966101695 1097.47457627119 1160.38983050847 1431.86440677966 1661.35593220339 1933.22033898305 2158.98305084746 2300.67796610169 2360
"177" 917 1032 1094.05084745763 1217 1171.42372881356 1348.8813559322 1720.52542372881 1900.23728813559 2062.16949152542 2084.52542372881 2099
"180" 1502 1409.38983050847 1252.74576271186 1057.08474576271 1009.74576271186 1215.45762711864 1279.1186440678 1312.94915254237 1643.81355932203 1751.01694915254 1719
