"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
"23" 11116974540353355776 15178584215.9652 5.50691336967653e+20 4694957270463480832 1.48476409524699e+39 44338183645607.5 11150292357.7225 1.34413332767513e+36 30929.9667420094 1.27889681151737e+23 0.599879198426622
"24" 2682604464835937280 7401386037.70725 2.05387343206214e+20 3098938809186060288 1.09229402922745e+39 47783052168031.1 12343713044.0993 1.92215221877286e+36 31974.1684886135 1.48257191432544e+23 0.599879212844801
"25" 6195336747053697024 10270054243.988 2.54876585961509e+20 3594369904138357760 1.20656408502696e+39 47858999748061.7 12662164170.6987 2.17293030127463e+36 33098.3592795381 1.61146360029887e+23 0.599879252880742
"26" 3272980064572131840 7011516898.44199 1.7862559553499e+20 2341457775358128640 4.59478311030419e+38 45125080297904 10913174405.3101 1.03165932284703e+36 29732.6814698314 8.10418777124429e+22 0.599879014239059
"27" 5878052368106041344 10124323944.6585 3.05977325790903e+20 3089278501826644992 6.34224572980713e+38 42939633301606.5 11589105455.6249 1.90867136519788e+36 32128.65712168 1.19714614123896e+23 0.599879114101392
"28" 13030397754104616960 15057144055.505 6.32986407596448e+20 6299362040017264640 2.70162031144893e+39 49331579901125 11612166097.2731 1.25078210828888e+36 31378.448020217 8.9215146394444e+22 0.599879177832249
"29" 8969861378407066624 11673878291.2163 4.18456361185281e+20 5357487954808270848 1.78446882492995e+38 53674890648265.7 12183871372.872 1.60822023832851e+36 31088.4978978685 1.22443462945067e+23 0.59987910015521
"30" 12940589191228639232 13439522464.6526 5.01719466913554e+20 5356165523169938432 2.2627624356091e+39 50402269477937.8 12128234494.4728 1.26115249454691e+36 31573.259413699 1.72689519206229e+23 0.599879595430019
"31" 4267532468060404736 11021210263.1511 4.77452729857016e+20 5421950742629925888 2.27395372043608e+39 52457207780180 12113551769.5398 1.46874586172028e+36 30558.7159644513 8.35103661566778e+22 0.599878933014395
"32" 13767638806900611072 15862874661.2455 7.09600772386095e+20 7502820837707657216 1.85358457277112e+39 53896988066713.6 12698776788.8136 2.14963448374497e+36 33370.5291187939 1.77689177737617e+23 0.599879249235365
"33" 9282723777962268672 11740744459.2039 3.98968588615382e+20 4144268792214216704 1.034675667283e+39 41419107759544.3 11064008418.7907 1.32368638182777e+36 31670.030689839 1.3509075517133e+23 0.599879208065361
"34" 5326546392840595456 10554117877.5013 4.00482648655148e+20 4909994808749918208 1.89227432753202e+39 45511960313464.9 10629380879.2759 9.62968276930078e+35 28286.4826653228 9.95207200226594e+22 0.599879050216551
"35" 1936258441865881856 12012716297.1129 3.00288261472051e+20 4135719295545553920 1.44610896979088e+39 41125474156726.5 12277344015.2172 1.54197741859488e+36 31026.8041874027 9.94437075903222e+22 0.599878888527382
"36" 12297536861698496512 10902509333.5102 2.75406143848628e+20 3511963805641022976 1.15626844539535e+39 40391288787682.6 9460428359.85848 6.4426613405151e+35 29396.5124063712 9.49205487951828e+22 0.599879020132193
"37" 11902286281929437184 16815498964.1718 1.38511072146906e+20 4.809741507481e+18 2.53657174158278e+39 51923190251382.5 11436505655.3176 1.18538305188636e+36 30219.7423174045 1.24252862846409e+23 0.599879649121683
"38" 7745650336983056384 10970413258.6372 3.08833457356371e+20 3548498240963291648 7.67715108958394e+38 35465549883243.3 9482322896.81466 5.13250834287631e+35 28097.6723663805 9.75753479493279e+22 0.599879106617955
"39" 7233551695193694208 11465641903.405 3.8025125346655e+20 4019286871311988224 1.07854721447437e+39 35688067619032.4 9029727610.1001 6.09460853921094e+35 28713.434089181 1.00900137438741e+23 0.599879097990961
"40" 7069222860070052864 8191054469.30098 1.88877256012783e+20 2477484349458250240 8.96236151250527e+38 47848770665010.8 13552236797.9362 2.5557548581042e+36 34115.2946133778 1.41751175410672e+23 0.599878943212088
"41" 3292133098152146432 7645801487.16019 2.12559754129844e+20 3088439653097545216 8.97142813102361e+38 36638846054571.8 9739008466.18767 1.38881451388724e+35 29920.8139265644 1.26760077628154e+23 0.599878646117369
"42" 7438685225133452288 11858588738.853 4.65338333784705e+20 5010718071171714048 1.49697893505398e+39 42394818990958.5 10823200606.3564 1.11466075260974e+36 30162.69911531 1.16755102495478e+23 0.599879210936198
"43" 3663582080934844928 7456888022.79237 1.81672456076503e+20 2767907594137466368 9.50407860393171e+38 42814673595755.8 11454477854.9077 1.61292544434579e+36 31933.5310490358 1.22781375401204e+23 0.599879093647364
"44" 9983679071654168576 12217500455.5361 4.21671552281144e+20 4865452798703864832 1.54866788269903e+39 44960444343403.9 11072540991.8515 1.15986684225289e+36 31568.1206761714 1.497972739619e+23 0.599879243737455
"45" 8991914828472135680 10359743280.5012 2.60128074225056e+20 3050194011248240640 1.12868891643517e+39 39350352071842.5 10559225501.2824 1.1757669011517e+36 30889.0910063876 9.76056491628703e+22 0.599879018956386
"46" 10350269416485273600 13981479126.0327 5.22928559569637e+20 5718745509578443776 2.33245579707434e+39 51248432601466.2 11901086282.503 1.58110219151501e+36 32354.2240348016 1.33840449788551e+23 0.59987921664937
"47" 12881002298972416000 15469473859.1998 7.08672900814639e+20 7885723706477691904 3.91421692159204e+39 60712411928520.7 12430139883.5115 1.4358366094046e+36 31588.9793062132 8.46657693373382e+22 0.599878809535198
"48" 9911668462646953984 13494911462.7065 5.56229310098085e+20 6046853180358016000 2.13198253238599e+39 46911941009199.2 10965207630.7387 1.03132900889322e+36 29945.8429716367 1.69491555725667e+23 0.599879324257851
"49" 4.057685178451e+18 8783439080.95662 2.77340846227469e+20 4250373622605588992 1.9519504368095e+39 54636998854293.4 12479360905.8121 1.73324414881099e+36 32293.0782770571 1.59260240411451e+23 0.599879281482545
"50" 7160130173803534336 12094510492.8693 4.02075764182365e+20 5032656887653640192 2.37215304133079e+39 55487765671227 13598084864.6479 2.38093979672101e+36 32957.6072326975 1.60030934466187e+23 0.599879221381522
"51" 6872589944241268736 10356067098.9704 3.14975511157685e+20 3898115438913615872 1.12868891643517e+39 41892251464103.9 11080073449.6782 1.33857617152779e+36 31463.8833363117 1.43408699959565e+23 0.599879222324827
"52" 13150945500787851264 16474913691.0851 4.0640013062905e+20 4617035565312609280 1.48528757906933e+39 42179440587152.2 10170225120.4166 7.76734704082561e+35 27272.8999722286 6.40025667746633e+22 0.599879060416246
"53" 11196165877993748480 12404409865.3341 3.19779335696012e+20 4699109159143661568 1.8569548074597e+39 49848142369698.4 12121292061.8696 1.66016141506106e+36 32141.4136824202 1.38785832699481e+23 0.599879051355209
"54" 14020933780318801920 15537211837.1882 6.95377375730585e+20 6966410481495191552 3.53920178571328e+39 59432768217311.2 13449105234.206 2.2935725226561e+36 31725.4076705662 1.24607517269636e+23 0.59987921379752
"55" 10226853704283443200 13896873341.6942 5.54378128715707e+20 6172411743483223040 3.38041187532978e+39 56537611502583.5 12366972684.3346 1.73894440716878e+36 31198.7259268779 1.54372909691238e+23 0.599879429956056
"56" 11116974540353355776 13640714431.3612 6.12968001200842e+20 6569131463890731008 3.58736166922068e+39 62275304896215.1 13000713316.5631 1.73245011590988e+36 34000.2133581322 1.46472861614134e+23 0.599879076069298
"57" 17758859635884097536 16561133478.142 5.39873597908281e+20 6153108062989748224 2.68851386826896e+39 51549382651611.9 12046698659.3304 1.5368673818622e+36 32107.0955680174 1.5139525230001e+23 0.599879164838199
"58" 9169965607474743296 13503424039.7034 5.62330898888426e+20 5702711509469753344 2.12633825451562e+39 47519414290909.1 11114767661.8518 1.01623809899981e+36 29086.8020730945 7.11115798936576e+22 0.59987890312703
"59" 10753525557373894656 12417993043.7029 4.13339836816331e+20 4787002647155108864 2.02131813431731e+39 48966181375606.8 11599725022.8982 1.20254965582797e+36 29965.5126118663 8.93742398822694e+22 0.59987899272834
