"T1_0." "T1_10." "T1_20." "T1_30." "T1_40." "T1_50." "T1_60." "T1_70." "T1_80." "T1_90." "T1_100."
"101" 271 370.559322033898 454.593220338983 479.389830508475 486.949152542373 445.474576271186 418.796610169491 388.305084745763 343 392.203389830508 467
"102" 306 371.389830508475 411.474576271186 425.35593220339 439.237288135593 444.779661016949 450.35593220339 476.322033898305 471.203389830509 333.016949152542 276
"106" 406 398.152542372881 398.864406779661 385 395.830508474576 385.186440677966 373.338983050847 362.389830508475 340.677966101695 315.271186440678 262
"115" 391 483.016949152542 493.474576271186 478.423728813559 463.71186440678 472.813559322034 476.932203389831 462.457627118644 389.71186440678 327.64406779661 312
"122" 317 429.983050847458 494.796610169492 485.610169491525 508.508474576271 476.694915254237 492.576271186441 492.71186440678 475.084745762712 386.813559322034 278
"126" 388 448.864406779661 441.372881355932 508.135593220339 552.71186440678 543.627118644068 477.932203389831 364.932203389831 346.203389830509 278.118644067797 240
"137" 405 467.389830508475 579.067796610169 500.28813559322 528.067796610169 474.271186440678 406.525423728814 359.762711864407 310.254237288136 281 275
"152" 431 509.830508474576 521.813559322034 493 506.677966101695 635.101694915254 600.64406779661 474.406779661017 461.898305084746 352.610169491525 322
"166" 567 586.050847457627 542.898305084746 581.813559322034 659.338983050847 588.627118644068 488.677966101695 428.627118644068 415 435.64406779661 419
"170" 425 518.118644067797 514.35593220339 513.35593220339 534.372881355932 554.779661016949 497.186440677966 396.694915254237 352.305084745763 282.186440677966 252
"177" 250 339.101694915254 439.322033898305 492.762711864407 500.915254237288 489.694915254237 387.864406779661 348.203389830508 354.372881355932 369.135593220339 309
"180" 464 542.423728813559 527.016949152542 490.254237288136 488.237288135593 512.559322033898 498.64406779661 479.559322033898 460.762711864407 410.677966101695 338
