"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
"1" 1.07236422675431e+30 1.20779382682265e+30 1.5211759260158e+30 1316008577321157376 0.333787681239408 1.24731560758925e+21 5527624.54229053 5364191.8859434 110969657.470495 20.9849030590937 5.89863227855671
"2" 5.86322038931932e+29 1.10055955043766e+30 8.47773851315766e+29 2243137931837828608 0.333787681240841 1.82589067421449e+21 6349852.76435332 6222928.32681129 126281605.250151 20.9747018540373 5.95853408498321
"3" 3.85338211498783e+30 1.18474824153051e+30 8.52339116815905e+29 2601325309994382336 0.333787681240918 1.88679675313116e+21 6535618.13544247 7294166.41081823 129257759.891256 20.6713385642697 5.87899285482518
"4" 6.12054498891103e+29 7.55464902812234e+29 6.83929989714849e+29 1806273842136471808 0.333787681239496 1.41625162990739e+21 5554797.28057542 5810260.13559687 114731716.409584 20.8481410521442 5.94518648695949
"5" 5.74845484086305e+30 6.69082319682175e+29 9.2734956710667e+29 2642832787964153856 0.33378768124097 1.964421620932e+21 6105626.88713016 6085186.0623224 125199321.838739 20.7022626253527 5.98766561442113
"6" 7.54620094271583e+29 5.07541312836856e+29 7.33220329654248e+29 2387826321817533952 0.3337876812408 2.15194681993543e+21 6195565.47779624 6299871.30610657 123793252.962484 20.6522896611271 5.88746423056019
"7" 5.87652155378479e+29 4.78974463658419e+29 1.93549979895718e+29 1422629179786564096 0.333787681239608 1.32123820857443e+21 5572781.3590857 5696422.75022945 124519519.370461 20.8794589056702 5.90998835587334
"8" 8.12983926398043e+29 9.02162203169995e+29 1.1325465967671e+30 3564288430285477376 0.333787681241329 2.24214593394089e+21 6678983.8935696 6499067.25779896 116128230.623712 20.5800362378118 5.87961217811557
"9" 4.82527430883131e+29 3.22636294637232e+29 8.35561514166116e+29 2755501388291282944 0.33378768124109 2.16955977584273e+21 6736660.32474959 6394378.47306995 121148686.760502 20.6686489539596 5.87337980074284
"10" 7.66323955608123e+29 8.98215085183206e+29 8.56863105243415e+29 2429035818162726400 0.333787681241329 1.42274192647518e+21 5798359.86345883 5529527.50005682 106719319.132272 20.4190779496964 5.85636429605531
"11" 7.5296107187451e+29 8.80028444521341e+29 7.7156099557935e+29 2246766059391184896 0.333787681240725 1.97497758767337e+21 6310931.76701781 6281671.79576234 106114044.74205 21.0035558835524 5.95364162159602
"12" 8.60270004667815e+29 7.82159072692737e+29 6.71566598245886e+29 2016774556032156672 0.333787681239727 1.32673006819411e+21 5740365.29622519 5635597.48435394 112054821.731033 20.6615148069667 5.86820332766013
"13" 6.23184305149541e+29 7.04320591182161e+29 8.40440052719793e+29 3035267668733178368 0.333787681241503 2.40545378039828e+21 6496193.10212561 6594320.70991925 126551436.120144 20.5923358378082 5.88134170823658
"14" 9.29749831797725e+29 7.64955515416658e+29 9.31680775027409e+29 2485872530288632832 0.333787681241053 2.02677595887353e+21 6273621.06944275 6490826.07553149 129762783.531964 20.6263162888699 5.84366649069007
"15" 1.05661117959575e+30 1.0407637552707e+30 9.96307237465951e+29 2801224431736319488 0.333787681240799 1.98646675877459e+21 6538065.70742582 6451967.04428583 120096861.253237 20.7010224916212 5.92049613276003
"16" 8.60270004667815e+29 8.34022892978578e+29 8.12773522568536e+29 2027249070067654400 0.333787681239821 1.66123785197299e+21 5902274.51068421 5742814.26587438 104624212.202056 20.8231153025054 5.94154317967815
"17" 4.13495028418312e+29 4.84727337026784e+30 5.44462686796939e+29 1939377499623589632 0.333787681239772 1.54888304646867e+21 6002874.19567321 6003708.65998546 103827527.041912 20.2366044124825 5.7963086415359
"18" 5.95688983377297e+29 6.92048846334244e+29 7.02653950181488e+29 2341441883935389184 0.333787681240649 2.11334481658625e+21 6233071.90181325 5960808.13007389 131230538.307703 21.0926954199623 5.94571972905486
"19" 8.64006033245311e+29 7.20855647293409e+29 7.48897496369275e+29 2289464900713591296 0.333787681242876 1.88505038399632e+21 6085501.08829521 6148667.92070964 101557368.326363 20.4549412489605 5.91675572097983
"20" 1.23140806951469e+30 1.16961499320433e+30 1.17497324715626e+30 2965806688787326976 0.33378768124162 2.49849379876545e+21 6820661.63415999 6794692.17266474 136638312.930037 20.6297064079588 5.86232308718195
"21" 6.40214330735059e+29 7.26198128558189e+29 8.60080419005892e+29 2351865190421662720 0.333787681240669 1.84070394990133e+21 5737151.80527347 5579872.34215954 114741256.715124 20.4508433382709 5.86705893271376
"22" 7.18857816455503e+29 7.89774174929697e+29 8.33531063124367e+29 2.423405154379e+18 0.333787681240458 1.61854005273148e+21 6113149.62052921 5992448.21794967 113691070.047947 20.6481197581394 5.8257369654465
