"Sample" "Diphtong" "Speaker" "Percentage...." "T1" "T2" "T3" "T4"
"38" 4 "aU" "M" 40 594.508474576271 1099.10169491525 2601.61016949153 3287.72881355932
"39" 4 "aU" "M" 50 579.135593220339 1063.05084745763 2669.76271186441 3274.30508474576
"40" 4 "aU" "M" 60 567.491525423729 1035.74576271186 2738.50847457627 3253.62711864407
"41" 4 "aU" "M" 70 521.542372881356 959.169491525424 2747.35593220339 3219.16949152542
"42" 4 "aU" "M" 80 483.322033898305 922.322033898305 2722.03389830508 3175.89830508475
"43" 4 "aU" "M" 90 441.93220338983 882.796610169491 2692.74576271186 3152.13559322034
"44" 4 "aU" "M" 100 394 891 2674 3092
"45" 5 "aI" "M" 0 357 1416 2205 3531
"46" 5 "aI" "M" 10 540.932203389831 1373.8813559322 2416.64406779661 3374.13559322034
"47" 5 "aI" "M" 20 624.152542372881 1299.1186440678 2451.37288135593 3283.59322033898
"48" 5 "aI" "M" 30 638.423728813559 1264.28813559322 2416.40677966102 2862.06779661017
"49" 5 "aI" "M" 40 632.796610169491 1295.06779661017 2387.18644067797 3343.54237288136
"50" 5 "aI" "M" 50 615.372881355932 1369.52542372881 2361.98305084746 3383.83050847458
"51" 5 "aI" "M" 60 583.661016949153 1478.13559322034 2295.93220338983 3229.8813559322
"52" 5 "aI" "M" 70 526.491525423729 1592.18644067797 2262.62711864407 3311.5593220339
"53" 5 "aI" "M" 80 465.135593220339 1746.03389830508 2273.91525423729 3261.42372881356
"54" 5 "aI" "M" 90 354.220338983051 1786.08474576271 2450.8813559322 3458.49152542373
"55" 5 "aI" "M" 100 221 1778 2537 3445
"56" 6 "aI" "M" 0 580 1431 2478 3410
"57" 6 "aI" "M" 10 678.983050847458 1439.15254237288 2562.76271186441 3364.32203389831
"58" 6 "aI" "M" 20 680 1448.86440677966 2434.83050847458 3302.33898305085
"59" 6 "aI" "M" 30 643.050847457627 1499.94915254237 2306.20338983051 3279.54237288136
"60" 6 "aI" "M" 40 620 1516.32203389831 2270.57627118644 3188.57627118644
"61" 6 "aI" "M" 50 600 1567.77966101695 2293.37288135593 3310.64406779661
"62" 6 "aI" "M" 60 636.915254237288 1602 2351.54237288136 3450.59322033898
"63" 6 "aI" "M" 70 537.949152542373 1748.69491525424 2352.35593220339 3200.61016949153
"64" 6 "aI" "M" 80 521.728813559322 1790.61016949153 2605.76271186441 3491.61016949152
"65" 6 "aI" "M" 90 365.576271186441 1833.74576271186 2371.42372881356 2788.47457627119
"66" 6 "aI" "M" 100 348 1828 2391 3006
"67" 7 "aU" "M" 0 560 1062 2847 3423
"68" 7 "aU" "M" 10 560 1011.84745762712 2851.49152542373 3380.25423728814
"69" 7 "aU" "M" 20 540 949.050847457627 2860.52542372881 3406.50847457627
"70" 7 "aU" "M" 30 541 908.864406779661 2829.32203389831 3399.57627118644
"71" 7 "aU" "M" 40 531.661016949153 881.050847457627 2762.98305084746 3210.28813559322
"72" 7 "aU" "M" 50 519.28813559322 878.661016949153 2723.22033898305 3208.23728813559
"73" 7 "aU" "M" 60 506.406779661017 905.016949152542 2698.30508474576 3214.76271186441
"74" 7 "aU" "M" 70 486.474576271186 946.847457627119 2660 3244.35593220339
"75" 7 "aU" "M" 80 420 982.135593220339 2660 3459.57627118644
"76" 7 "aU" "M" 90 387.457627118644 1113.27118644068 2660 3583.71186440678
"77" 7 "aU" "M" 100 320 1178 2600 3528
"78" 8 "OY" "M" 0 581 1061 2511 3329
"79" 8 "OY" "M" 10 588.915254237288 1095.47457627119 2473.35593220339 3191.45762711864
"80" 8 "OY" "M" 20 588.932203389831 1133.16949152542 2479.28813559322 3231.91525423729
"81" 8 "OY" "M" 30 604.033898305085 1199.08474576271 2445.5593220339 3237.5593220339
"82" 8 "OY" "M" 40 613.677966101695 1283.98305084746 2369.06779661017 3056.13559322034
"83" 8 "OY" "M" 50 593.338983050847 1331.40677966102 2380.66101694915 3175
"84" 8 "OY" "M" 60 550.389830508475 1484.96610169492 2354.79661016949 3185.81355932203
"85" 8 "OY" "M" 70 519.542372881356 1545.71186440678 2326.50847457627 3220.25423728814
"86" 8 "OY" "M" 80 516 1603.1186440678 2377.64406779661 3161.81355932203
"87" 8 "OY" "M" 90 504.881355932203 1665.57627118644 2335.18644067797 3095.22033898305
"88" 8 "OY" "M" 100 502 1696 2310 3042
"89" 9 "OY" "M" 0 635 1021 2694 3298
"90" 9 "OY" "M" 10 610.271186440678 1059.67796610169 2570.91525423729 3206.96610169492
"91" 9 "OY" "M" 20 611.389830508475 1084.84745762712 2541.83050847458 3209.10169491525
"92" 9 "OY" "M" 30 620 1129.33898305085 2505.76271186441 3225.28813559322
"93" 9 "OY" "M" 40 614.152542372881 1194.23728813559 2440.16949152542 3253.42372881356
"94" 9 "OY" "M" 50 570.372881355932 1337.38983050847 2378.32203389831 3262.64406779661
