"Sample" "Diphtong" "Speaker" "Percentage...." "T1" "T2" "T3" "T4"
"1024" 94 "aI" "F" 0 596 1569 2971 4310
"1025" 94 "aI" "F" 10 865.186440677966 1586.20338983051 3009.69491525424 4066.8813559322
"1026" 94 "aI" "F" 20 929.898305084746 1474.23728813559 3091.15254237288 4010.27118644068
"1027" 94 "aI" "F" 30 890.35593220339 1609.28813559322 3042.66101694915 4029.89830508475
"1028" 94 "aI" "F" 40 869.050847457627 2068.8813559322 3101.32203389831 4101.89830508475
"1029" 94 "aI" "F" 50 680.542372881356 2009.50847457627 3040.54237288136 4062.67796610169
"1030" 94 "aI" "F" 60 620.762711864407 2345.86440677966 3072.94915254237 4082.72881355932
"1031" 94 "aI" "F" 70 553.593220338983 2337.69491525424 3018.28813559322 4061.71186440678
"1032" 94 "aI" "F" 80 415.525423728814 2243.08474576271 3029.77966101695 4089.06779661017
"1033" 94 "aI" "F" 90 300.101694915254 2193.23728813559 3037.38983050847 4166.35593220339
"1034" 94 "aI" "F" 100 244 1921 3068 4261
"1035" 95 "aI" "F" 0 485 1344 2915 3739
"1036" 95 "aI" "F" 10 576.474576271186 1355.18644067797 3121.47457627119 4042.83050847458
"1037" 95 "aI" "F" 20 799.389830508474 1470.52542372881 3016.38983050847 4211.15254237288
"1038" 95 "aI" "F" 30 466.118644067797 1645.81355932203 2908.30508474576 4071.16949152542
"1039" 95 "aI" "F" 40 422.830508474576 1637.08474576271 2954.27118644068 4266.38983050847
"1040" 95 "aI" "F" 50 556.610169491525 1883.20338983051 2962.77966101695 4145.35593220339
"1041" 95 "aI" "F" 60 536.830508474576 2003.35593220339 2901.62711864407 4044.72881355932
"1042" 95 "aI" "F" 70 496.915254237288 2100.50847457627 2902.8813559322 4009.49152542373
"1043" 95 "aI" "F" 80 456.864406779661 2153.76271186441 2861.76271186441 3974.28813559322
"1044" 95 "aI" "F" 90 394.016949152542 2020.84745762712 2761.89830508475 3896.18644067797
"1045" 95 "aI" "F" 100 251 1674 2607 3552
"1046" 96 "aI" "F" 0 366 1260 2903 3921
"1047" 96 "aI" "F" 10 607.118644067797 1473.22033898305 2944.81355932203 4049.15254237288
"1048" 96 "aI" "F" 20 660 1552.8813559322 2955.91525423729 4048.94915254237
"1049" 96 "aI" "F" 30 640.338983050847 1679.32203389831 3019.66101694915 4322.47457627119
"1050" 96 "aI" "F" 40 640 1785.76271186441 3020 4147.49152542373
"1051" 96 "aI" "F" 50 643.050847457627 1932.20338983051 3000 4336.71186440678
"1052" 96 "aI" "F" 60 569.745762711864 2177.28813559322 2960.67796610169 4254.23728813559
"1053" 96 "aI" "F" 70 510.627118644068 2247.76271186441 2940 4158.77966101695
"1054" 96 "aI" "F" 80 406.915254237288 2180.61016949153 3038.27118644068 4384.54237288136
"1055" 96 "aI" "F" 90 311.118644067796 2003.89830508475 3079.22033898305 4417.18644067797
"1056" 96 "aI" "F" 100 244 1995 3157 4597
"1057" 97 "aU" "F" 0 475 1547 3186 4062
"1058" 97 "aU" "F" 10 498.881355932203 1426.57627118644 3127.91525423729 4118.69491525424
"1059" 97 "aU" "F" 20 471.745762711864 1366.96610169492 3025.59322033898 4230.93220338983
"1060" 97 "aU" "F" 30 479.661016949153 1275.5593220339 2893.05084745763 3526.83050847458
"1061" 97 "aU" "F" 40 489.440677966102 1177.1186440678 2864.33898305085 3683.5593220339
"1062" 97 "aU" "F" 50 478.271186440678 1095.74576271186 2874.30508474576 3675.98305084746
"1063" 97 "aU" "F" 60 433.271186440678 1017.66101694915 2962.81355932203 3691.30508474576
"1064" 97 "aU" "F" 70 378.389830508475 1035.72881355932 2829.93220338983 3635.57627118644
"1065" 97 "aU" "F" 80 362.220338983051 1022.01694915254 2884.59322033898 3782.23728813559
"1066" 97 "aU" "F" 90 355.762711864407 974.440677966102 2898.22033898305 4159.86440677966
"1067" 97 "aU" "F" 100 323 857 2695 4065
"1068" 98 "aI" "F" 0 720 1580 2912 4118
"1069" 98 "aI" "F" 10 700 1580 2863.67796610169 4009.10169491525
"1070" 98 "aI" "F" 20 736.118644067797 1590.84745762712 2896.81355932203 4012.81355932203
"1071" 98 "aI" "F" 30 546.898305084746 1696.27118644068 2898.57627118644 4049.93220338983
"1072" 98 "aI" "F" 40 636.186440677966 1841.69491525424 2950.49152542373 4075.66101694915
"1073" 98 "aI" "F" 50 492.28813559322 1907.1186440678 2912.81355932203 4103
"1074" 98 "aI" "F" 60 491.474576271186 2085.18644067797 2911.22033898305 3984.62711864407
"1075" 98 "aI" "F" 70 423.830508474576 2209.5593220339 2867.38983050847 3973.32203389831
"1076" 98 "aI" "F" 80 399.016949152542 2256.40677966102 2853.13559322034 3937.54237288136
"1077" 98 "aI" "F" 90 347.508474576271 2226.01694915254 2915.81355932203 4072.33898305085
"1078" 98 "aI" "F" 100 304 2166 2910 4166
"1079" 99 "aI" "F" 0 565 1868 2929 4155
"1080" 99 "aI" "F" 10 695.966101694915 1758.84745762712 3010.22033898305 4206.08474576271
"1081" 99 "aI" "F" 20 793.28813559322 1708.57627118644 3084.5593220339 4218.81355932203
"1082" 99 "aI" "F" 30 710.389830508475 1683.5593220339 3096.5593220339 4249.23728813559
"1083" 99 "aI" "F" 40 736.508474576271 1749.33898305085 3005.22033898305 4204.38983050847
"1084" 99 "aI" "F" 50 567.457627118644 1881.91525423729 3109.4406779661 4273.64406779661
"1085" 99 "aI" "F" 60 617.525423728814 2019.32203389831 3074.40677966102 4267.40677966102
